"","GLM","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max."
"Intercept",-0.272229385731315,-116.485509207832,-8.60799110686577,13.3836744361833,3.33023073886121,23.4476053558634,59.9282072023668
"height",0.320244464467887,-4.59842632470026,-2.91064297912856,-1.45299513253167,-0.699890199457403,0.0777765680611459,15.0158719554176
"temp",0.118898776649031,-2.51147414464997,0.448711613083854,1.07016940073202,1.39580273919592,1.65263663892664,8.08806519676536
"rain",0.00353855711486025,-0.201900658603778,-0.0214810190291806,-0.0146224285958935,-0.0149870561443172,-0.00014022046623452,0.0405144613531484
"distance_water",-0.0322433228708573,-0.147880957282503,-0.0250502198673395,-0.0111963691518694,-0.0073512114096787,0.0108258265542061,0.161330953157084
"distance_loess",-0.211617238929856,-1.05449968922574,-0.219902786760938,-0.180702534418678,-0.226715654446119,-0.155509311393933,-0.0908619965057547
"frostdays",-0.287132405749629,-2.59311981504675,-1.61382004297371,-0.728195687017216,-0.629829500729774,0.0948303174421737,2.79052184246398
"slope",-0.481875648979618,-0.723641775169834,-0.155599280730693,-0.0230375694567294,-0.0749105964897061,0.0285382047562696,0.209111458193377
"height:rain",-0.000181740523667761,-0.0126089989949255,0.000520727741634467,0.00275460315773684,0.00204145805177639,0.00432615125550774,0.0159285671906784
