X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,1.5300815709294794E-4,33.62784805553929,0.6038548290941019
2.0,2.0,train,1.7332303557725693E-4,43.77005946646558,0.6496827455077974
3.0,3.0,train,1.0900552347139057E-4,16.532982271026057,0.48298297145968316
4.0,4.0,train,1.1869185732352549E-4,19.265654722917514,0.512419175707306
5.0,5.0,train,1.7740823096699555E-4,45.76189106109834,0.6582373788641438
6.0,6.0,train,1.4272702500694583E-4,29.259978606660408,0.578423996707583
7.0,7.0,train,1.0262332639044635E-4,14.506440733187352,0.46262316897668554
8.0,8.0,train,9.295484827120993E-5,12.030627653176527,0.430242253741037
9.0,9.0,train,1.8627110354777081E-4,50.04417319254241,0.6760853398563564
10.0,10.0,train,1.8658917962317755E-4,50.23545186611579,0.6767082539313651
11.0,11.0,train,2.132657364563778E-4,62.85682591403062,0.7249056839134247
12.0,12.0,train,1.7665585915052759E-4,45.45704264663622,0.6566777163531226
13.0,13.0,train,1.5953015808490388E-4,36.803749164665,0.6191860631222925
14.0,14.0,train,1.6306297695936907E-4,38.72622612098084,0.6272414119500055
15.0,15.0,train,1.519256893954022E-4,33.232680669557965,0.6012512123556945
16.0,16.0,train,1.8230215376241954E-4,48.12648592147645,0.6682109514623502
17.0,17.0,train,1.49076378720381E-4,32.09496321447472,0.5943157823663474
18.0,18.0,train,1.295183832909517E-4,23.551654476217433,0.5433413770260889
19.0,19.0,train,9.805265189752175E-5,13.353544356043088,0.44755140773905366
20.0,20.0,train,1.3803975401645177E-4,27.30397612421383,0.5662941682934901
21.0,21.0,train,1.2926959455760822E-4,23.46106579654104,0.5426533051357461
22.0,22.0,train,1.5447765906108888E-4,34.184107855021466,0.6073621807618963
23.0,23.0,train,1.48648205179825E-4,31.915935906956506,0.5932632021603494
24.0,24.0,train,8.65335155600158E-5,10.643799808781065,0.40766528275837066
25.0,25.0,train,1.4242488396192733E-4,29.091844484894025,0.5776524411835436
26.0,26.0,train,1.0852895933333537E-4,16.308136930328782,0.4814897057716473
27.0,27.0,train,1.29430228779078E-4,23.52008772182018,0.5430976876916827
28.0,28.0,train,1.267498865199114E-4,22.487128305967964,0.5356258891294797
29.0,29.0,train,1.2767543835215178E-4,22.82846597727178,0.5382196950531584
30.0,30.0,train,7.66635030677372E-5,8.591898743270773,0.37120631190849296
31.0,31.0,train,1.0372586465390157E-4,14.796625216891465,0.4661967941292935
32.0,32.0,train,1.0966661981527312E-4,16.7320964814328,0.4850473321809252
33.0,33.0,train,1.2596200807806081E-4,22.124579490327275,0.533406428393933
34.0,34.0,train,1.2893723415320987E-4,23.33761362635771,0.5417324822080893
35.0,35.0,train,1.8425812251274482E-4,49.10156576649041,0.6721152278739889
36.0,36.0,train,1.0634551276834742E-4,15.682855327488728,0.47459275845696125
37.0,37.0,train,1.4324101901378003E-4,29.448000073029434,0.5797333086196652
38.0,38.0,train,1.3315723724092034E-4,24.96716345344894,0.5532878153349392
39.0,39.0,train,1.0713946354107821E-4,15.871864373169803,0.4771111958232177
40.0,40.0,train,1.0863528821373073E-4,16.362047244760646,0.4818232499490025
41.0,41.0,train,1.919153310639307E-4,52.69465901187421,0.6869626981629733
42.0,42.0,train,1.931739535557928E-4,53.26533295879722,0.6893380234756781
43.0,43.0,train,1.4765854473686337E-4,31.48509046639339,0.5908198541309889
44.0,44.0,train,1.794043261860872E-4,46.63156481006978,0.6623410239042196
45.0,45.0,train,1.814824226052835E-4,47.48051034391089,0.6665609070585923
46.0,46.0,train,1.870817147281179E-4,50.470065292996544,0.67767046239764
47.0,47.0,train,2.470745283717393E-4,78.37059098989282,0.7758063899985719
48.0,48.0,train,1.9891726202354092E-4,56.23449440835727,0.6999503133591101
49.0,49.0,train,1.7165232571633327E-4,42.90624010552214,0.6461227913230128
50.0,50.0,train,1.7257073403140007E-4,43.49856185051762,0.6480841928638359
51.0,51.0,train,1.42745342284364E-4,29.266679154359913,0.5784707268598702
52.0,52.0,train,1.3281994437645155E-4,24.828117029665897,0.5523750424359655
53.0,53.0,train,1.8887806848848663E-4,51.31033056718472,0.6811555839405314
54.0,54.0,train,1.3714481056495388E-4,26.86414537455475,0.5639388374316445
55.0,55.0,train,1.5284865918014466E-4,33.56166457882765,0.6034722656657767
56.0,56.0,train,1.7013418514173008E-4,42.13728113709315,0.6428565700249027
57.0,57.0,train,1.9669403176779843E-4,55.012108361880884,0.6958860019514215
58.0,58.0,train,1.9507428215786703E-4,54.26354428785556,0.6928902968464304
59.0,59.0,train,1.8313440147549548E-4,48.50243704177815,0.669877837450561
60.0,60.0,train,2.1530884161294326E-4,63.63818111051895,0.728286135007653
61.0,61.0,train,2.2417094643038487E-4,67.98619411246892,0.7424747244777539
62.0,62.0,train,1.7750655400247114E-4,45.81648909709248,0.6584406777969802
63.0,63.0,train,2.30570192684706E-4,70.61834470102922,0.7522572465058966
64.0,64.0,train,2.1171411576278822E-4,62.29209755353838,0.722310355798195
65.0,65.0,train,1.9529981393928206E-4,54.35886061201499,0.693309176635417
66.0,66.0,train,3.6259346633227713E-4,99.49175478822332,0.8885682084425535
67.0,67.0,train,3.1767451147390077E-4,97.78685563860137,0.8537594111591276
68.0,68.0,train,1.8667015345080057E-4,50.279942794982,0.6768666401323249
69.0,69.0,train,2.318383837458421E-4,71.15127009321162,0.7541513539303011
70.0,70.0,train,2.3067479300918896E-4,70.6656535498348,0.7524140230196799
71.0,71.0,train,2.8056194194299515E-4,91.42395824921293,0.8169332339072165
72.0,72.0,train,2.993916312567629E-4,95.5236998251307,0.8366496236421123
73.0,73.0,train,2.6111190949353557E-4,84.25341428508098,0.7940654074824457
74.0,74.0,train,3.066188147695321E-4,96.40361926988463,0.8436401653529059
75.0,75.0,train,2.467753241494741E-4,78.23620795048602,0.7754000695650543
76.0,76.0,train,2.7903565860429525E-4,90.90655877021248,0.8152344567365638
77.0,77.0,train,1.0919519672739051E-4,16.590109558074573,0.48357609638808363
78.0,78.0,train,4.285485381848397E-5,2.627358892886999,0.22844625126672968
79.0,79.0,train,1.6827164724559144E-4,41.36102781018701,0.6388081816985713
80.0,80.0,train,1.923288123304739E-4,52.912842795513974,0.687745033840762
81.0,81.0,train,1.837813926804242E-4,48.87976537068112,0.6711678904909467
82.0,82.0,train,2.321924588838313E-4,71.3062145347522,0.7546775922847098
83.0,83.0,train,1.9606455661592864E-4,54.71239379646293,0.6947252833620626
84.0,84.0,train,1.5128934956953273E-4,33.00384625183861,0.5997126700411968
85.0,85.0,train,1.193139959614585E-4,19.50474561591142,0.5142514940878053
86.0,86.0,train,2.4102379118029268E-4,75.72547814243215,0.7674447453032861
87.0,87.0,train,5.023120822226857E-5,3.6227502290420306,0.2621311296223283
88.0,88.0,train,1.7276053347523677E-4,43.5681928464127,0.6484881811519929
89.0,89.0,train,1.3013332667421247E-4,23.770849883282104,0.5450376798775108
90.0,90.0,train,1.73814646503837E-4,44.057510710277505,0.6507234361192475
91.0,91.0,train,1.533875232965902E-4,33.78164497337327,0.6047632749023
92.0,92.0,train,1.4775802734887187E-4,31.52895187446239,0.5910661263751759
93.0,93.0,train,1.928933928019538E-4,53.158735553984165,0.6888101033376444
94.0,94.0,train,1.502925980926703E-4,32.72860084885644,0.5972907839406625
95.0,95.0,train,1.809349760459791E-4,47.1959442500896,0.6654543792724914
96.0,96.0,train,2.641312886596518E-4,85.4161498852476,0.7977942118803769
97.0,97.0,train,1.6782827347372397E-4,41.08379583618035,0.6378377272693163
98.0,98.0,train,2.0337727986704423E-4,57.970335432912044,0.7079406737838438
99.0,99.0,train,1.809259855996745E-4,47.19078289105134,0.6654361766954553
100.0,100.0,train,5.7108329392015545E-5,4.76237291625947,0.2922101875526494
101.0,101.0,train,1.5667958414135506E-4,35.29405247496005,0.6125596116586488
102.0,102.0,train,1.4105143052662574E-4,28.563290435428833,0.5741273160429343
103.0,103.0,train,2.032103784771195E-4,57.90891220974941,0.7076455291826869
104.0,104.0,train,1.5199266133356302E-4,33.25676447486062,0.6014127927629769
105.0,105.0,train,1.4850936045762253E-4,31.87036955426986,0.592921293755905
106.0,106.0,train,1.4249207192705096E-4,29.129234009027556,0.5778241361834415
107.0,107.0,train,5.957823696549259E-5,5.279270507743319,0.3027111167776736
108.0,108.0,train,1.8718507866844532E-4,50.52370462148538,0.6778720286389293
109.0,109.0,train,1.1944255079363568E-4,19.563233498060825,0.5146292536048107
110.0,110.0,train,1.2186594244990024E-4,20.52175788614216,0.5216956973389715
111.0,111.0,train,1.4804432433200806E-4,31.687564670458354,0.5917740365308641
112.0,112.0,train,1.6101985049442167E-4,37.50197557397722,0.6226037928858268
113.0,113.0,train,1.423022721690934E-4,29.02361207781363,0.5773389337583422
114.0,114.0,train,1.4660512917458583E-4,30.994300918345484,0.588202974137821
115.0,115.0,train,3.418241468741349E-5,1.6793950237482433,0.18687065593726027
116.0,116.0,train,2.7018233835338003E-4,87.63826945113381,0.8050649944390564
117.0,117.0,train,2.480033998433808E-4,78.83503135770025,0.7770631236076857
118.0,118.0,train,2.3014138206153197E-4,70.39088530108002,0.7516135004316263
119.0,119.0,train,1.0597935148501577E-4,15.572979977904508,0.47342719959450963
120.0,120.0,train,1.0936207964193222E-4,16.640372670352885,0.4840973911807951
121.0,121.0,train,9.459641646258142E-5,12.43979307736281,0.43587445517153667
122.0,122.0,train,1.0381114830687596E-4,14.819626812229162,0.46647222928099286
