x,y,species cloglog values
228.0,228.0,0.49993408
229.0,229.0,0.70820045
230.0,230.0,0.5512591
231.0,231.0,0.23302066
232.0,232.0,0.0046886187
233.0,233.0,0.47856805
234.0,234.0,0.5568649
235.0,235.0,0.021765143
236.0,236.0,0.72232497
237.0,237.0,0.25011447
238.0,238.0,0.02333841
239.0,239.0,0.14841798
240.0,240.0,0.2810674
241.0,241.0,0.05174964
242.0,242.0,0.47286338
243.0,243.0,0.1286951
244.0,244.0,0.37706867
245.0,245.0,0.08319928
246.0,246.0,0.047155816
247.0,247.0,0.33832508
248.0,248.0,0.5985536
249.0,249.0,0.32322016
250.0,250.0,0.34492984
251.0,251.0,0.078925386
252.0,252.0,0.40457326
253.0,253.0,0.24517815
254.0,254.0,0.51856065
255.0,255.0,0.5774078
256.0,256.0,0.37371308
257.0,257.0,0.07440361
258.0,258.0,0.30911335
259.0,259.0,0.06943994
260.0,260.0,0.6556041
261.0,261.0,0.53166556
262.0,262.0,0.18774292
263.0,263.0,0.62328166
264.0,264.0,0.16956006
265.0,265.0,0.1479444
266.0,266.0,0.075492576
267.0,267.0,0.033140738
268.0,268.0,0.743603
269.0,269.0,0.7350785
270.0,270.0,0.9032479
271.0,271.0,0.8329545
272.0,272.0,0.20681189
273.0,273.0,0.4474403
274.0,274.0,0.012271599
275.0,275.0,0.57565683
276.0,276.0,0.7449142
277.0,277.0,0.012891979
278.0,278.0,0.17193054
279.0,279.0,0.34414402
280.0,280.0,0.114773214
281.0,281.0,0.3099429
282.0,282.0,0.14881036
283.0,283.0,0.6688824
284.0,284.0,0.46356094
285.0,285.0,0.54937434
286.0,286.0,0.6862758
287.0,287.0,0.19789325
288.0,288.0,0.67124987
289.0,289.0,0.51776266
290.0,290.0,0.62093467
291.0,291.0,0.36420035
292.0,292.0,0.63118005
293.0,293.0,0.572743
294.0,294.0,0.39846617
295.0,295.0,0.26434642
296.0,296.0,0.28400165
297.0,297.0,0.5654321
298.0,298.0,0.12358525
299.0,299.0,0.28912616
300.0,300.0,0.6678067
301.0,301.0,0.68366593
302.0,302.0,0.19002384
303.0,303.0,0.64961565
304.0,304.0,0.17735386
305.0,305.0,0.12915035
306.0,306.0,0.7360991
307.0,307.0,0.27090424
308.0,308.0,0.37621808
