"lon" "lat" "w.dist" "w.lon" "w.lat" "ID" "temp" "rain" "tpi" "slope" "aspect"
"71" 11.4291666666667 47.8791666666667 293.072308240201 11.4252701757353 47.8788481162347 2075 82 964 -2.25 0.931409193525168 7
"73" 10.2791666666667 50.2625 3207.22302460162 10.2405003942591 50.2477759842392 1790 82 636 6 1.93547425450957 4
"75" 10.5958333333333 47.9541666666667 2245.96506794551 10.6187902540599 47.9411043826191 2065 74 972 2.75 0.295351742550832 1
"78" 11.7041666666667 48.0791666666667 10407.2860086518 11.5934448557512 48.1362762105129 2013 79 945 -2 0.364328630162237 2
"79" 12.8458333333333 47.5958333333333 6770.92128643342 12.9115552927631 47.6374740043168 2098 69 1204 -174.625 13.0056376083742 8
"80" 10.7208333333333 49.6041666666667 3636.10457989372 10.6817536524421 49.6248011448036 526 83 679 -2.625 1.37996904336244 8
"81" 10.2875 49.2708333333333 2518.74964749896 10.2553806413793 49.2793666133611 643 79 742 -5 1.75299847059462 3
"82" 11.5708333333333 49.9208333333333 2968.07032973341 11.5818328842578 49.9465560874391 1832 83 646 -4.5 1.0202203529957 2
"83" 12.8875 49.0458333333333 3580.54972090073 12.9156360216037 49.0721894984162 1881 73 817 -17 0.817083665802259 8
"84" 9.80416666666667 50.2375 7907.88613560568 9.73554961636049 50.2933793940695 1775 82 716 3.875 1.56559876079035 7
"85" 10.6125 48.1458333333333 2676.3538202207 10.5764858930007 48.1450745704564 1983 76 931 18.75 1.92310665843462 7
"86" 12.9708333333333 48.9125 8514.92030452602 12.9153337809236 48.8452492606401 1887 79 827 -61.75 1.65611915243057 5
"88" 12.3041666666667 48.1208333333333 2303.05031986847 12.2753334487274 48.1133346335381 1998 79 957 -9.125 0.957245431884923 2
"90" 11.5375 47.8708333333333 2195.53225002527 11.5113815745097 47.8617793342794 2070 74 1002 17.25 1.65162402100571 7
"91" 11.3208333333333 50.2791666666667 2835.5815699173 11.3476390053059 50.2603340897728 1778 80 633 -43.125 3.16950613714501 7
"92" 12.0958333333333 47.6708333333333 5951.06581149128 12.1708336432868 47.6881369684697 2116 68 1021 -89.875 3.58011007244577 5
"95" 10.5875 49.8708333333333 1129.69536010692 10.5966530403027 49.8790911766971 500 81 676 23.375 1.99186367012037 1
"100" 10.4375 48.0875 7117.10955553979 10.5236851061519 48.1153376849178 2005 78 913 -7.375 0.962831785212619 7
"102" 11.6375 50.2375 256.724757860264 11.6341823196356 50.2384031778958 1798 64 797 -2.125 1.96449898538254 6
"104" 10.6625 49.5375 1321.37607774321 10.6515933666029 49.5279713637398 539 81 694 17 0.432729093675545 4
"109" 12.5458333333333 48.1875 4820.48865421185 12.4916668269203 48.2113341617025 1975 80 975 5.625 0.29625839282587 1
"110" 10.2541666666667 49.1875 764.712313406543 10.2644407110339 49.186051455662 643 82 720 -4.5 0.442821164307144 6
"111" 10.3875 47.9291666666667 2324.21252386869 10.3572526355309 47.9241543679204 2034 68 999 9.5 3.05236017971696 2
"112" 12.4208333333333 47.9458333333333 1215.59929100026 12.4114170455102 47.9547500187991 2021 80 1010 -4.75 0.083983372796777 7
"113" 10.7791666666667 50.3125 4440.39143700891 10.7215832827022 50.2972221663403 1792 79 624 14 2.41359082468623 3
"114" 10.7125 47.5541666666667 6238.37088685028 10.6298409778037 47.5583304399537 2125 66 1022 37.625 5.27522951004709 3
"116" 12.0708333333333 48.3708333333333 3873.20443500935 12.0474079528539 48.3397160095104 1951 79 868 -7.75 0.652495488887159 1
"118" 12.1291666666667 49.7291666666667 3008.31274574668 12.1708888312891 49.7288322361871 1848 78 631 -16.875 0.958510136630576 5
"119" 11.7875 48.3625 3862.28631776447 11.7444449001678 48.3820839509583 1970 81 832 -0.375 0.194658456045351 1
"121" 13.1041666666667 49.0041666666667 51.0619411662936 13.103555550497 49.0039437610973 1881 71 878 -8 2.96803200529228 7
"122" 11.7875 50.2041666666667 1384.85428768743 11.7869609452886 50.1917310957869 1783 68 751 8 0.985668911754625 4
"123" 12.1291666666667 48.0041666666667 2839.8527690902 12.1549168186104 47.9853629171 2015 82 942 7.125 0.36202201889308 4
"124" 10.5291666666667 50.3625 1446.11464794688 10.526475734663 50.3753767867782 1761 81 613 3.875 1.49613638381367 1
"125" 11.4541666666667 47.8875 1028.47294031426 11.4601391810865 47.8958321012955 2070 82 967 -2.75 1.00788613489816 1
"127" 11.1791666666667 48.9791666666667 8578.7045225012 11.1746110099532 48.9020843980552 662 76 782 1.125 0.542006179110265 3
"129" 10.6208333333333 48.1791666666667 3756.42342050412 10.5704995922537 48.1826759848552 1983 78 912 0.875 1.3934971371508 3
"130" 10.3708333333333 49.5875 8037.86820200688 10.4285554022503 49.6492766518065 527 86 657 2.875 0.109688099375514 3
"131" 12.7375 47.9875 8185.10922228697 12.8097882011289 48.0428906521066 2025 85 1060 -17 0.871499010524597 3
"132" 12.2458333333333 48.1291666666667 807.186408444589 12.2553329008775 48.1326676333596 1998 81 936 -13.875 1.20050394710667 3
"134" 13.0875 48.8041666666667 980.024947984263 13.100841529106 48.8047065037311 1891 85 838 -13.25 0.822634537924898 3
"135" 10.3375 48.0958333333333 2920.83298704889 10.2983355264752 48.0937816404391 2034 74 928 12.375 2.50692378193712 7
"139" 11.9208333333333 48.1458333333333 9361.79364269504 12.0456390929668 48.1353073964718 1982 79 925 -2.625 0.589377614960957 8
"140" 11.9958333333333 48.7208333333333 1833.65104674614 12.0172472654721 48.712365154114 1913 78 777 13.625 0.656966628339566 3
"141" 9.97083333333333 50.0708333333333 6009.69009338561 9.9167499955016 50.1121673444766 1807 87 644 3.25 2.20400815461619 3
"142" 11.0375 48.0625 7097.70342666179 11.1302500620682 48.076999570994 1988 81 946 -4 0.965847789162526 2
"143" 11.3375 48.8708333333333 4857.46973472033 11.3023614073819 48.9078598603007 662 80 758 -2.875 1.06855553464 3
"144" 11.2458333333333 48.6791666666667 4091.99241966014 11.2572898086326 48.6431949859411 1920 86 757 -1.25 0.0523524289062336 2
"150" 12.7041666666667 47.8208333333333 1229.85959723538 12.6954734242309 47.811453494916 2063 74 1134 0 2.31832969558088 8
"153" 10.0041666666667 49.5791666666667 6794.50685931333 10.0009442070794 49.5181121582328 577 90 662 6.5 0.143419677550665 2
"154" 11.8458333333333 50.1375 1934.49541875871 11.8455275854632 50.1201095028141 1799 61 811 5.5 6.33350403979704 8
"155" 11.7541666666667 50.3541666666667 5330.47340325183 11.7158888889543 50.3953628775107 1771 63 782 -2.75 1.3965704887977 2
"157" 12.1125 49.4625 5019.71924979757 12.1780557115937 49.4770545524881 1858 74 679 -2.75 2.77730212030509 5
"158" 9.6625 49.9125 5164.30544741915 9.59058720709787 49.9097479653688 1841 90 679 6.625 1.34249591977489 3
"159" 11.8791666666667 49.5791666666667 5824.86309575025 11.8461665944904 49.6269455448575 1866 77 678 -15 1.65802505074477 2
"160" 11.5291666666667 49.8541666666667 208.827690750837 11.5264841969193 49.8534400541957 1846 72 754 13.125 0.884807643514468 5
"161" 13.5958333333333 48.9375 1037.99633125712 13.6053339355499 48.9444285492772 1898 47 1134 46.25 1.1799137271673 4
"162" 12.3375 48.4041666666667 842.706806187845 12.3271131593563 48.4072911228038 1951 77 899 8.25 1.48909385346627 8
"163" 11.7375 49.3875 10670.7448662604 11.8605557321018 49.4400290729147 1866 78 695 -18 1.505854831817 6
"164" 11.2791666666667 48.6125 3675.57434635628 11.2688970170421 48.6448130757218 1920 85 778 -0.5 0.656576634205168 8
"165" 11.5125 47.5541666666667 1537.79111035881 11.5050830049963 47.5670546803244 2124 64 1009 56.75 5.8080242156533 2
"166" 11.0791666666667 49.5625 6991.86837276054 10.9825276557908 49.5617218310859 1852 87 656 7.625 1.52718895349978 8
"167" 10.2625 47.4041666666667 28.5894414417027 10.2621232902481 47.4041358012014 2145 69 1027 -48.25 5.09848234618998 3
"170" 9.7125 49.7291666666667 5911.5631197664 9.78430559387349 49.7035292931119 529 91 676 -10.375 1.58371520495566 4
"172" 10.2708333333333 47.8125 1117.09100113411 10.2704806275668 47.8024677972555 2079 70 1003 2 1.0477215991173 5
"173" 9.1375 49.6208333333333 4931.36755546379 9.06958297450202 49.6165008374137 544 94 719 -14.875 1.30829670647967 3
"174" 12.0625 48.0208333333333 1178.21102644668 12.074777602205 48.0141678413241 2039 83 933 -2 0.580454836834648 3
"177" 12.5208333333333 49.0708333333333 1180.30302811118 12.5056337793813 49.0671919893659 1870 68 818 -1.625 1.30291661443002 7
"179" 10.3541666666667 49.7541666666667 3798.4819740305 10.335194501283 49.7223053099098 527 88 633 -5.875 0.616789058341476 8
"180" 9.19583333333333 49.9625 3998.27926554782 9.14291667861827 49.9737777585959 1831 93 685 -8.25 2.2598896300589 7
"182" 13.7458333333333 48.8541666666667 9752.2465432459 13.6130274995715 48.8573875971559 1898 54 1085 NA NA NA
"184" 10.4375 47.9375 5344.29623362402 10.3700839027656 47.9535827547495 2034 69 998 1.5 0.637867933130179 1
"186" 9.8875 50.3791666666667 1082.74591262592 9.89955405942493 50.3732077610002 1775 71 873 12.125 5.8821519226163 4
"187" 10.3208333333333 49.6375 5501.27857983544 10.3856667644278 49.6634713084097 527 86 668 -3.875 0.883345042366978 1
"189" 9.62916666666667 50.0208333333333 603.165071862945 9.62426939548844 50.0252445200894 1841 96 608 -48 3.06949398385979 7
"190" 9.69583333333333 49.7875 5499.40005327583 9.62088862692924 49.797027597085 1841 91 674 -6.5 0.74542421030581 3
"191" 10.7791666666667 49.6541666666667 3425.41750328212 10.7618592536179 49.6828265133598 526 85 660 -2.75 1.81154065729754 8
"192" 9.8125 47.6291666666667 416.183182055705 9.80750602255061 47.6307947846239 2130 82 1113 -3.875 0.783513952286383 6
"193" 10.2958333333333 48.0375 2591.92741809795 10.3117503732868 48.0582237431962 2034 77 924 -14 2.05954287491584 7
"194" 13.1125 48.4291666666667 33.7926163522782 13.1124564279971 48.4288642505156 1941 87 978 -13.75 0.166912257509285 5
"197" 10.7208333333333 49.0458333333333 6171.40103339909 10.7756386079993 49.0880547359579 662 78 753 29.5 4.03792955426107 1
"199" 10.1541666666667 48.1625 3497.26660726128 10.1089494369127 48.1537155321781 2011 77 891 20 1.22540820125742 1
"200" 12.0958333333333 49.5375 3285.68147766116 12.1349725927629 49.5524712256928 1853 79 637 2.125 0.359003009900007 2
"203" 11.9708333333333 49.7208333333333 2079.74981076068 11.9540835200762 49.7056122622004 1849 79 641 -0.5 0.523324993910896 3
"204" 10.0041666666667 47.6041666666667 3739.62230669045 10.0421114328287 47.6259155198256 2114 68 1093 -10.75 1.37072434966498 1
"205" 10.9875 49.9875 5773.52573323525 10.9089164996628 49.9988060846594 1820 81 654 7.25 0.548677882680773 6
"207" 10.2125 47.3041666666667 860.621572635905 10.2205476173147 47.2986906372108 2145 8 1330 NA NA NA
"209" 10.7708333333333 50.3041666666667 3592.96827681775 10.7215832827022 50.2972221663403 1792 78 638 -1.625 0.641790095819731 3
