"lon" "lat" "w.dist" "w.lon" "w.lat" "ID" "temp" "rain" "tpi" "slope" "aspect"
"1" 12.4369664222607 48.9493919072384 2437.7904331962 12.4478330000576 48.970111926946 1884 84 713 0.375 0.350211466198523 2
"2" 11.5228921673278 48.8075381532901 5385.88383415769 11.5270062228727 48.7592319348236 1894 83 735 0.5 0.529030062175799 4
"3" 12.3664642361547 48.8879785830693 97.3380422848509 12.3674444885015 48.887387707583 1913 84 721 -2 0.283501712003073 3
"4" 12.5021548550751 48.8552565307937 3895.1579275545 12.4694166119748 48.8828315342371 1902 83 751 -0.875 0.195670437409035 2
"5" 12.1301154875811 48.972601051285 5452.1501412968 12.1196108611101 49.0211372041143 1872 82 695 9.5 0.817587059145665 8
"6" 12.2130379923726 48.901988085172 5327.6320019005 12.2297220767892 48.8553618950698 1913 82 709 -7.5 1.25651393490686 3
"7" 12.2329742051898 48.8862670567991 3282.88786454734 12.2436602770389 48.8576261866995 1913 82 718 -5.125 0.867204609352029 2
"8" 12.5094516524125 48.5345238578371 637.081467448913 12.5035828994267 48.5387229996145 1951 80 870 -11.375 1.99857225475453 1
"9" 12.21140311878 48.6018786129479 2267.93865148586 12.2227220834917 48.5829163044925 1915 82 795 -1.125 0.523948236505465 4
"10" 12.4400310667237 48.5161414913828 564.376398647439 12.4435557408759 48.5116387314636 1951 80 865 -14.75 0.76008778693454 4
"11" 12.5042649667999 48.5371905981257 175.119359053977 12.5032111907485 48.5386005281203 1951 80 865 -19.375 1.85288957904091 1
"12" 12.134363726267 48.982829106847 4394.86238245617 12.1196108611101 49.0211372041143 1872 84 679 10.75 1.19186526189268 1
"13" 12.9660696168314 48.6016852742727 879.581857286233 12.9589443987768 48.6080283575596 1932 85 889 -7 0.906555071332618 1
"14" 12.0999513049101 48.9836015875409 3729.45497222562 12.0501947491604 48.9908333208265 1883 82 689 10.625 1.36659445326367 3
"15" 12.2273444565125 48.5558416288352 3018.42074669588 12.1881390510222 48.5635566556698 1922 79 833 -13.625 1.28309886522942 8
"16" 12.1835853748834 48.6143722666209 4535.24598202739 12.2227220834917 48.5829163044925 1915 81 798 -9.875 1.36052255049294 5
"17" 12.1301154875811 48.972601051285 5452.1501412968 12.1196108611101 49.0211372041143 1872 82 695 9.5 0.817587059145665 8
"18" 12.9969913855666 48.7292977780139 1705.88326012778 13.019332925343 48.7251930535384 1904 86 843 -2.375 0.107889393028957 3
"19" 10.6535634313939 48.8243255512737 445.421707975422 10.6486469617523 48.821973397302 666 84 731 -14.625 2.45007832567911 8
"20" 12.6153469813915 48.795699551971 4056.3709020299 12.61497213316 48.7592240169845 1896 81 794 -3.5 0.650741769614823 2
"21" 12.8772914065606 48.5793028872674 455.174651013937 12.8738261529948 48.5826887006331 1932 84 896 -18 0.794115419744148 1
"22" 12.1213281298002 48.9762974163676 4988.20293257117 12.1196108611101 49.0211372041143 1872 83 684 4.875 0.649630397537072 1
"23" 12.5186932285118 48.7756908927672 4761.90110707448 12.5733613243918 48.7527237397083 1896 82 782 -12 0.198341443826653 2
"24" 12.5691341537793 48.8218172837074 7364.30884331564 12.5785837726138 48.7558898678428 1896 83 774 0.375 0.193321189281798 3
"25" 12.0777168395223 48.5510137466484 3912.59420729116 12.0947690743278 48.5177294010801 1925 81 802 -2.75 1.25143198620515 5
"26" 12.7567100192234 48.836321338558 1160.84539244504 12.7705832107726 48.8413314794736 1887 84 786 1.75 0.273473291861378 1
"27" 12.1904381879847 48.9380772306574 7878.27619716369 12.1916113591697 49.0089149515949 1874 84 693 0.125 0.416939761139319 1
"28" 12.091281824475 48.5694567324726 5542.19734575631 12.1179764638709 48.5229122806392 1922 81 798 -21.375 0.764868194587046 5
"29" 12.3959039261539 48.9172495964731 1305.79375494851 12.4001772366027 48.9058606234815 1913 84 714 -2.125 0.0770467299898213 6
"30" 12.6630351011307 48.8004975544486 5075.84142529339 12.6430558333534 48.7568053838817 1896 83 788 -1.875 0.479874799158663 2
"31" 12.6693517924068 48.8403871322334 6615.55788420153 12.7201663825778 48.8895233921259 1887 84 775 -0.5 0.146129747212386 2
"32" 12.2165324576547 48.5965184319174 1579.99915230287 12.2227220834917 48.5829163044925 1915 82 797 -2.125 0.314207666891731 4
"33" 12.383324628011 48.4778912996823 639.439908246853 12.3897628060056 48.4740469029493 1951 78 879 -1.375 1.06311011875821 4
"34" 13.0174831533417 48.60901195491 223.876304991988 13.0158052401931 48.6073341605301 1910 86 891 -4.5 0.657750982728068 5
"35" 12.2129305556875 48.6039800676007 2451.16118952922 12.2227220834917 48.5829163044925 1915 82 795 -1.125 0.523948236505465 4
"36" 10.4987421367817 48.8210828749203 5372.95413264734 10.5645274890283 48.8422507755127 667 81 751 12.25 1.53377922988548 1
"37" 13.0596277319648 48.6114733535648 366.868845173137 13.0585110252449 48.6082614866003 1912 86 900 -10.75 1.56227454520299 5
"38" 12.6519418556645 48.5840469415416 132.890430340221 12.651341791263 48.5851728314976 1951 81 866 -12.125 0.757997502090381 8
"39" 12.1170517948372 48.7958376250963 3916.81083037702 12.1049442714869 48.830139087998 1913 80 750 -17.75 0.572935806184212 2
"40" 11.5028736453207 48.7929489825613 3696.10587641706 11.4922659533472 48.7604905009922 1894 84 735 0.5 0.419249243406319 6
"41" 12.6013175959569 48.7925813735905 3740.73296656159 12.6087502528957 48.7593039639879 1896 82 793 -2.125 0.551350887038182 2
"42" 12.5105792705177 48.540274232563 264.529876126331 12.5079282437032 48.541876149846 1951 80 870 -11.375 1.99857225475453 1
