"","GLM","Min.","X1st.Qu.","Median","Mean","X3rd.Qu.","Max."
"Intercept",-13.2610317977072,-689.143312836412,-68.5279383953987,-4.63576505164094,-12.7344434277468,59.6217764544119,597.970427630257
"height",-0.343637527987651,-17.5713231659613,-5.49615986991579,-2.62351293298159,-2.71320489334664,0.217892567220542,13.3557068402161
"temp",1.64081700848547,-33.5650383862992,-3.40447285002635,1.19415632279967,1.47070468532315,5.64965309330512,36.0080957025613
"rain",-0.00553748715717707,-0.414190175564797,-0.036042075592084,0.00603696185009944,0.0161533597671683,0.0514281108108712,0.555126539330644
"distance_water",-0.0971525524636248,-3.17052904922306,-0.305446023731452,-0.0552706001168803,-0.0877214953141901,0.138976893083606,1.76024518057403
"distance_loess",-0.106155979322599,-1.72681459554053,-0.413057042234436,-0.151827080631521,-0.207961867941974,0.0299849396994474,1.08903271592017
"frostdays",0.791565920587404,-10.7977645108224,-1.49512602559766,-0.178232328278403,0.0788703144990091,1.47579831739616,13.3604427532308
"slope",-0.12740285897141,-2.15395857217299,-0.0168504297231913,0.371660027412449,0.430706775401815,0.825983749743038,2.94641167468955
